"Region","Station","Date","Daily Rainfall Total (mm)","Highest 30 min Rainfall (mm)","Highest 60 min Rainfall (mm)","Highest 120 min Rainfall (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","Latitude","Longitude"
"North","Admiralty",2020-06-15,0.2,0.2,0.2,0.2,29.6,33.4,27.8,9.7,42.8,1.4439,103.7854
"North","Admiralty",2020-06-16,4.6,4.6,4.6,4.6,28.2,31.2,26.2,12.7,35.2,1.4439,103.7854
"North","Admiralty",2020-06-17,11.2,3.6,5.6,7.6,26.6,29.7,25.2,9.3,27.8,1.4439,103.7854
"North","Admiralty",2020-06-18,1.4,0.8,0.8,0.8,27.3,30.4,25.2,8.9,23.7,1.4439,103.7854
"North","Admiralty",2020-06-19,2,0.8,1.4,1.8,28,31.6,25.3,7.8,24.1,1.4439,103.7854
"North","Admiralty",2020-06-20,13,4.6,6.2,6.8,26.1,28.1,24.4,8.3,32.8,1.4439,103.7854
"North","Admiralty",2020-06-21,0,0,0,0,26.7,28.4,25.4,8.2,29.4,1.4439,103.7854
"North","Admiralty",2020-06-22,0,0,0,0,27.1,28.6,25.5,8.5,27.8,1.4439,103.7854
"North","Admiralty",2020-06-23,16.8,4.4,6.6,9.8,26.4,29.3,23.4,8.6,34.3,1.4439,103.7854
"North","Admiralty",2020-06-24,6.8,3.4,4.2,4.8,26.3,27.5,23.9,9.5,41.1,1.4439,103.7854
"North","Admiralty",2020-06-25,0,0,0,0,28.3,32.3,25.3,9.1,25.6,1.4439,103.7854
"North","Admiralty",2020-06-26,0,0,0,0,28.7,32.4,26.4,10,28.5,1.4439,103.7854
"North","Admiralty",2020-06-27,3.8,3.8,3.8,3.8,28.9,31.9,26.3,10.9,37.8,1.4439,103.7854
"North","Admiralty",2020-06-28,0.2,0.2,0.2,0.2,29.2,32.6,26.9,9.3,43.9,1.4439,103.7854
"North","Admiralty",2020-06-29,0.4,0.2,0.4,0.4,29.4,32.4,27.6,8.7,36.3,1.4439,103.7854
"North","Admiralty",2020-06-30,7.2,7.2,7.2,7.2,29.2,33.8,26.2,10.8,43.2,1.4439,103.7854
"North","Admiralty",2020-07-01,2,0.8,1.4,1.8,25.9,29.6,23.3,18.7,54.7,1.4439,103.7854
"North","Admiralty",2020-07-02,0,0,0,0,27.5,31.1,25.1,23.4,50,1.4439,103.7854
"North","Admiralty",2020-07-03,5.2,2.8,3.4,3.6,27.8,33.7,25.9,16.2,57.2,1.4439,103.7854
"North","Admiralty",2020-07-04,30,14.8,17.2,24.8,27.4,31.8,23.1,NA,33.2,1.4439,103.7854
"North","Admiralty",2020-07-05,0,0,0,0,29.8,35,27.6,10.3,35,1.4439,103.7854
"North","Admiralty",2020-07-06,0,0,0,0,29.3,33.9,26,10.6,24.4,1.4439,103.7854
"North","Admiralty",2020-07-07,9,8.8,8.8,8.8,27,32,25,9.5,30.6,1.4439,103.7854
"North","Admiralty",2020-07-08,0,0,0,0,29.9,33.6,27.3,9.6,29.1,1.4439,103.7854
"North","Admiralty",2020-07-09,0,0,0,0,27.9,32.8,23.9,12.9,42.4,1.4439,103.7854
"North","Admiralty",2020-07-10,9.6,4.8,7,8.4,27.6,31.1,24.3,10.4,51.9,1.4439,103.7854
"North","Admiralty",2020-07-11,47,29.6,33.2,34,25.4,28.2,23.4,13.1,40,1.4439,103.7854
"North","Admiralty",2020-07-12,0,0,0,0,28.2,32,25.6,20.3,51.9,1.4439,103.7854
"North","Admiralty",2020-07-13,23,15.6,18.2,20.2,25.5,28.2,23.6,11.1,39.3,1.4439,103.7854
"North","Admiralty",2020-07-14,0.2,0.2,0.2,0.2,27,29.9,25,10.2,32,1.4439,103.7854
"North","Admiralty",2020-07-15,11.6,9.4,11.6,11.6,27.4,31.7,25,8.7,25.9,1.4439,103.7854
"North","Admiralty",2020-07-16,3.8,NA,NA,NA,28,34.6,24.2,11,40.7,1.4439,103.7854
"North","Admiralty",2020-07-17,0,0,0,0,29,33.2,25.2,9.6,25.9,1.4439,103.7854
"North","Admiralty",2020-07-18,7.4,3,4.8,5.6,27.7,31.8,26,12.1,34.3,1.4439,103.7854
"North","Admiralty",2020-07-19,0,0,0,0,28.4,33.2,24.8,9.7,27.8,1.4439,103.7854
"North","Admiralty",2020-07-20,0,0,0,0,29.4,33.4,27.3,13.2,39.6,1.4439,103.7854
"North","Admiralty",2020-07-21,0,0,0,0,29.5,33.9,27.4,11.7,38.2,1.4439,103.7854
"North","Admiralty",2020-07-22,19,12.8,13.4,13.4,27.3,29.9,23.8,9.8,25.6,1.4439,103.7854
"North","Admiralty",2020-07-23,2.2,1.2,1.6,1.8,27.6,31.1,24.7,9,36.3,1.4439,103.7854
"North","Admiralty",2020-07-24,9,8.2,8.6,8.6,27.4,30.8,24.2,11,42.8,1.4439,103.7854
"North","Admiralty",2020-07-25,5,5,5,5,27,31,24.8,10.9,31.7,1.4439,103.7854
"North","Admiralty",2020-07-26,17.2,10,10.4,10.4,27.1,31.8,24,10.8,45.4,1.4439,103.7854
"North","Admiralty",2020-07-27,40.6,14.6,15.6,19.8,26,29.9,22.8,10.3,43.5,1.4439,103.7854
"North","Admiralty",2020-07-28,0.2,0.2,0.2,0.2,27.7,31.6,24.5,9.7,27.4,1.4439,103.7854
"North","Admiralty",2020-07-29,9.4,3.4,4.2,5.6,25.9,28.4,23.9,9.9,22,1.4439,103.7854
"North","Admiralty",2020-07-30,0,0,0,0,28.4,32.7,25.2,10.4,26.3,1.4439,103.7854
"North","Admiralty",2020-07-31,26,19.8,25.6,26,27.9,30.9,23.4,9.6,39.3,1.4439,103.7854
"North","Admiralty",2020-08-01,1.2,1.2,1.2,1.2,27.2,30.8,25,20.9,50,1.4439,103.7854
"North","Admiralty",2020-08-02,0,0,0,0,27.3,30.9,24.3,19.1,42.5,1.4439,103.7854
"North","Admiralty",2020-08-03,16.4,10.8,15,15.4,27.9,33.6,25.6,12.6,31,1.4439,103.7854
"North","Admiralty",2020-08-04,33.6,27.6,32.8,33,27.9,35.1,23.3,12.1,35.6,1.4439,103.7854
"North","Admiralty",2020-08-05,8.4,3.8,4.4,7,28.8,32.3,25.3,9.2,29.8,1.4439,103.7854
"North","Admiralty",2020-08-06,0,0,0,0,29.3,34.8,27.1,10.9,34.3,1.4439,103.7854
"North","Admiralty",2020-08-07,4,4,4,4,27,30,25.1,8.7,23.7,1.4439,103.7854
"North","Admiralty",2020-08-08,0,0,0,0,30.2,34.6,27.6,9.2,27.8,1.4439,103.7854
"North","Admiralty",2020-08-09,0.2,0.2,0.2,0.2,28,31.9,25.4,12.2,34.6,1.4439,103.7854
"North","Admiralty",2020-08-10,20.2,13.8,15,16.6,26.6,30.9,23.6,10.8,68.3,1.4439,103.7854
"North","Admiralty",2020-08-11,15.6,13.6,13.8,15,25.6,29.1,24,11,34.3,1.4439,103.7854
"North","Admiralty",2020-08-12,0,0,0,0,27.9,32,25.8,19.8,47.6,1.4439,103.7854
"North","Admiralty",2020-08-13,31.4,21,25.6,27.6,28.2,32.8,23.8,8,24.8,1.4439,103.7854
"North","Admiralty",2020-08-14,9,4.6,6.6,7.2,25.6,28.4,22.9,13,41.1,1.4439,103.7854
"North","Admiralty",2020-08-15,18.2,15.4,18,18.2,27.1,33,24.4,10.4,33.2,1.4439,103.7854
"North","Admiralty",2020-08-16,0.2,0.2,0.2,0.2,27.9,31.7,24.6,8.6,29.8,1.4439,103.7854
"North","Admiralty",2020-08-17,1.8,1.4,1.8,1.8,27.3,32.2,24.4,9.8,37.4,1.4439,103.7854
"North","Admiralty",2020-08-18,0.6,0.4,0.4,0.4,27.1,29.2,25.8,8.5,25.2,1.4439,103.7854
"North","Admiralty",2020-08-19,0.6,0.4,0.4,0.4,27.7,31.9,24.7,9.8,31.7,1.4439,103.7854
"North","Admiralty",2020-08-20,0,0,0,0.4,28.2,32.5,25.4,11.6,42.4,1.4439,103.7854
"North","Admiralty",2020-08-21,0,0,0,0,29.6,33.5,27.4,11.1,32,1.4439,103.7854
"North","Admiralty",2020-08-22,12.6,5.6,9.2,11.8,27.5,32.7,24.3,10.8,38.5,1.4439,103.7854
"North","Admiralty",2020-08-23,20.8,13.6,15.8,19.2,25.1,28.2,23,11,43.9,1.4439,103.7854
"North","Admiralty",2020-08-24,0,0,0,0,27.8,32.7,23.8,14.3,35.2,1.4439,103.7854
